NodeNo	x	y	T	qx	qy
341	0.468750	0.531250	87.068321	1139.605358	-4924.025231
342	0.406250	0.593750	88.935654	882.198154	-5028.040746
343	0.281250	0.593750	89.370114	549.922858	-4909.096059
344	0.312500	0.625000	90.056001	586.505598	-5008.252562
345	0.281250	0.656250	90.925171	488.098595	-5038.604963
346	0.343750	0.656250	90.752636	646.528436	-5099.022837
347	0.281250	0.718750	92.518441	441.246428	-5143.044146
348	0.031250	0.593750	89.741813	57.709565	-4782.844375
349	0.062500	0.625000	90.480936	109.119164	-4844.035756
350	0.031250	0.656250	91.254160	50.924892	-4891.651539
351	0.093750	0.656250	91.222183	153.727079	-4906.196616
352	0.031250	0.718750	92.798338	43.201402	-4985.940248
353	0.125000	0.687500	91.966846	191.012867	-4969.793644
354	0.093750	0.718750	92.771201	130.478659	-5002.315103
355	0.093750	0.781250	94.347767	104.601534	-5081.904218
356	0.062500	0.750000	93.571707	78.225221	-5033.515726
357	0.125000	0.812500	95.128066	121.837718	-5131.424396
358	0.093750	0.843750	95.946439	76.472799	-5143.265556
359	0.031250	0.781250	94.369521	34.617646	-5063.902096
360	0.156250	0.718750	92.716373	220.422001	-5035.268549
361	0.187500	0.750000	93.472369	241.348952	-5103.028645
362	0.156250	0.781250	94.303787	176.870864	-5118.210292
363	0.218750	0.781250	94.236601	272.242824	-5167.390487
364	0.156250	0.843750	95.914270	142.845357	-5179.104899
365	0.031250	0.843750	95.962341	25.299457	-5123.935721
366	0.062500	0.875000	96.760259	40.950747	-5154.235457
367	0.031250	0.906250	97.570975	15.416925	-5164.734112
368	0.093750	0.906250	97.561283	54.546710	-5184.017507
369	0.031250	0.968750	99.189246	7.789919	-5186.236302
370	0.968750	0.093750	72.463729	2988.354808	-3380.810153
371	0.968750	0.156250	73.555453	3038.312495	-3609.068291
372	0.937500	0.125000	73.462513	2898.701256	-3517.830035
373	0.968750	0.218750	74.719888	3090.759274	-3846.908221
374	0.906250	0.156250	74.468478	2805.045263	-3655.673798
375	0.968750	0.281250	75.960403	3145.463755	-4097.010656
376	0.937500	0.250000	75.807772	2992.809822	-3995.870058
377	0.906250	0.281250	76.903143	2888.070630	-4145.070172
378	0.906250	0.218750	75.647654	2846.945657	-3894.490817
379	0.906250	0.343750	78.239100	2927.491344	-4410.699606
380	0.875000	0.312500	78.004851	2775.873172	-4293.435892
381	0.875000	0.187500	75.481022	2706.919423	-3793.489982
382	0.968750	0.343750	77.281331	3202.232520	-4362.846292
383	0.968750	0.406250	78.688221	3260.768358	-4648.856855
384	0.937500	0.375000	78.467367	3088.584329	-4529.467632
385	0.968750	0.468750	80.188205	3320.570862	-4960.913233
386	0.906250	0.406250	79.660817	2963.846914	-4695.466547
387	0.843750	0.218750	76.499341	2603.848100	-3930.439121
388	0.843750	0.281250	77.765698	2632.278542	-4178.276173
389	0.812500	0.250000	77.522430	2495.428958	-4065.618178
390	0.843750	0.343750	79.111466	2655.650401	-4439.697707
